,Stock,Year,Month,StdDev
0,10 HK,2001,2,0.01649685762475109
1,10 HK,2001,3,0.025346313542407687
2,10 HK,2001,4,0.05711122894953214
3,10 HK,2001,5,0.02666100442050871
4,10 HK,2001,6,0.0252606861227046
5,10 HK,2001,7,0.03560619641760379
6,10 HK,2001,8,0.012317412299705502
7,10 HK,2001,9,0.03156156824809328
8,10 HK,2001,10,0.03729754106749538
9,10 HK,2001,11,0.019833125344730498
10,10 HK,2001,12,0.016924474973215725
11,10 HK,2002,1,0.014013181873928174
12,10 HK,2002,2,0.007525883368787312
13,10 HK,2002,3,0.018022733347477712
14,10 HK,2002,4,0.024140249324734193
15,10 HK,2002,5,0.03174170742011632
16,10 HK,2002,6,0.01492087464372164
17,10 HK,2002,7,0.018845380853379008
18,10 HK,2002,8,0.012152078010912894
19,10 HK,2002,9,0.017572753333658587
20,10 HK,2002,10,0.036906468290951996
21,10 HK,2002,11,0.02021235074385464
22,10 HK,2002,12,0.016792574847094788
23,10 HK,2003,1,0.017108683257694282
24,10 HK,2003,2,0.013182970912668403
25,10 HK,2003,3,0.01454357363453862
26,10 HK,2003,4,0.02749704906335739
27,10 HK,2003,5,0.019574235829178662
28,10 HK,2003,6,0.009601156437709412
29,10 HK,2003,7,0.021998961676154866
30,10 HK,2003,8,0.022562718693588994
31,10 HK,2003,9,0.021748096842552283
32,10 HK,2003,10,0.028495284003132147
33,10 HK,2003,11,0.019681932548834432
34,10 HK,2003,12,0.022604995363228558
35,10 HK,2004,1,0.05409321777655412
36,10 HK,2004,2,0.013390270051464141
37,10 HK,2004,3,0.014884681727638844
38,10 HK,2004,4,0.033722036285606764
39,10 HK,2004,5,0.03752643793289176
40,10 HK,2004,6,0.01749479300344503
41,10 HK,2004,7,0.014778166416868821
42,10 HK,2004,8,0.014319905929551381
43,10 HK,2004,9,0.022953659193431352
44,10 HK,2004,10,0.021038223255665536
45,10 HK,2004,11,0.014041152040892577
46,10 HK,2004,12,0.026032151539090744
47,10 HK,2005,1,0.018638083386511628
48,10 HK,2005,2,0.017483742639354923
49,10 HK,2005,3,0.013120431242766474
50,10 HK,2005,4,0.013880630794866037
51,10 HK,2005,5,0.011073214332262942
52,10 HK,2005,6,0.015542511432719928
53,10 HK,2005,7,0.013398285220749774
54,10 HK,2005,8,0.013115683103228921
55,10 HK,2005,9,0.019417799248942793
56,10 HK,2005,10,0.016979753115420087
57,10 HK,2005,11,0.018189567981389664
58,10 HK,2005,12,0.01833334053752437
59,10 HK,2006,1,0.02348361958752643
60,10 HK,2006,2,0.024930864391470794
61,10 HK,2006,3,0.015989736503697293
62,10 HK,2006,4,0.03496151640856717
63,10 HK,2006,5,0.04129962741526621
64,10 HK,2006,6,0.0231938549254376
65,10 HK,2006,7,0.01669930185245392
66,10 HK,2006,8,0.024703455655813188
67,10 HK,2006,9,0.009726627815061796
68,10 HK,2006,10,0.020029159272135978
69,10 HK,2006,11,0.014143770109171849
70,10 HK,2006,12,0.015320737006927954
71,10 HK,2007,1,0.022733015469110173
72,10 HK,2007,2,0.025826411806063723
73,10 HK,2007,3,0.019823250348952492
74,10 HK,2007,4,0.022997242434330097
75,10 HK,2007,5,0.020741795278286883
76,10 HK,2007,6,0.02405368339150674
77,10 HK,2007,7,0.0234341132444681
78,10 HK,2007,8,0.02837182977531206
79,10 HK,2007,9,0.033140149509076684
80,10 HK,2007,10,0.03643566219349288
81,10 HK,2007,11,0.03806245558493897
82,10 HK,2007,12,0.026034729823665587
83,10 HK,2008,1,0.03856289366839818
84,10 HK,2008,2,0.03139960139694936
85,10 HK,2008,3,0.041709638772123706
86,10 HK,2008,4,0.02674248241783521
87,10 HK,2008,5,0.02654181458052488
88,10 HK,2008,6,0.025601243274420003
89,10 HK,2008,7,0.033161239888986005
90,10 HK,2008,8,0.036070180176552495
91,10 HK,2008,9,0.037625828860753434
92,10 HK,2008,10,0.06136956966993213
93,10 HK,2008,11,0.05528652918241225
94,10 HK,2008,12,0.04479532168215178
95,10 HK,2009,1,0.04179489993959024
96,10 HK,2009,2,0.03979043781078889
97,10 HK,2009,3,0.046479391432161565
98,10 HK,2009,4,0.04283219689891746
99,10 HK,2009,5,0.027978489294743072
100,10 HK,2009,6,0.029822054287896388
101,10 HK,2009,7,0.02624978596519649
102,10 HK,2009,8,0.019728681138700743
103,10 HK,2009,9,0.021788355191524864
104,10 HK,2009,10,0.024554126088048765
105,10 HK,2009,11,0.01806550332924728
106,10 HK,2009,12,0.017821481366146395
107,10 HK,2010,1,0.022232311607311577
108,10 HK,2010,2,0.018484397220700322
109,10 HK,2010,3,0.019827795300638003
110,10 HK,2010,4,0.018152873858735333
111,10 HK,2010,5,0.0213227924479562
112,10 HK,2010,6,0.015315593343891716
113,10 HK,2010,7,0.012132980225900205
114,10 HK,2010,8,0.014644744230656277
115,10 HK,2010,9,0.012129107288402904
116,10 HK,2010,10,0.013686102635101598
117,10 HK,2010,11,0.017573608422865553
118,10 HK,2010,12,0.01540372118940356
119,10 HK,2011,1,0.011545232950306003
120,10 HK,2011,2,0.01418656742584237
121,10 HK,2011,3,0.019273773560612606
122,10 HK,2011,4,0.01688492584981084
123,10 HK,2011,5,0.018485880554215475
124,10 HK,2011,6,0.017030949943373196
125,10 HK,2011,7,0.016094582132228023
126,10 HK,2011,8,0.021777860131726383
127,10 HK,2011,9,0.02749741521658437
128,10 HK,2011,10,0.047330487543260163
129,10 HK,2011,11,0.02500249588778354
130,10 HK,2011,12,0.026057107458604453
131,10 HK,2012,1,0.02195150458410971
132,10 HK,2012,2,0.019340407210343295
133,10 HK,2012,3,0.009560673620055193
134,10 HK,2012,4,0.013084933567061871
135,10 HK,2012,5,0.01662883065448267
136,10 HK,2012,6,0.01591917728688161
137,10 HK,2012,7,0.022586779921897737
138,10 HK,2012,8,0.012799692438368827
139,10 HK,2012,9,0.013106738099745156
140,10 HK,2012,10,0.017288827183641057
141,10 HK,2012,11,0.016248648045453205
142,10 HK,2012,12,0.011782369378129938
143,10 HK,2013,1,0.010409487825289242
144,10 HK,2013,2,0.009152759303403908
145,10 HK,2013,3,0.018343321372322308
146,10 HK,2013,4,0.017124727259583444
147,10 HK,2013,5,0.011881288591804451
148,10 HK,2013,6,0.022080846085384628
149,10 HK,2013,7,0.016336718093556205
150,10 HK,2013,8,0.016794693077568614
151,10 HK,2013,9,0.01739365213030223
152,10 HK,2013,10,0.008321554959836587
153,10 HK,2013,11,0.008426536141739126
154,10 HK,2013,12,0.011925271991637626
155,10 HK,2014,1,0.018081319584646056
156,10 HK,2014,2,0.010018015141923579
157,10 HK,2014,3,0.017374516234343957
158,10 HK,2014,4,0.013972576229535466
159,10 HK,2014,5,0.00875921040221333
160,10 HK,2014,6,0.008994502400267872
161,10 HK,2014,7,0.012125316958390487
162,10 HK,2014,8,0.012366682079822193
163,10 HK,2014,9,0.018310955067361346
164,10 HK,2014,10,0.02121582746514518
165,10 HK,2014,11,0.010651155624913849
166,10 HK,2014,12,0.010934434651641917
167,10 HK,2015,1,0.011217702093404195
168,10 HK,2015,2,0.008475647718937683
169,10 HK,2015,3,0.012705374831733004
170,10 HK,2015,4,0.01666883611856115
171,10 HK,2015,5,0.017558756092706716
172,10 HK,2015,6,0.014004494367831565
173,10 HK,2015,7,0.030632226061356
174,10 HK,2015,8,0.01779261322018168
175,10 HK,2015,9,0.02268712552420891
176,10 HK,2015,10,0.024338198539217183
177,10 HK,2015,11,0.013950425461201394
178,10 HK,2015,12,0.016993255979584388
179,10 HK,2016,1,0.02181497019642877
180,10 HK,2016,2,0.016514000169756314
181,10 HK,2016,3,0.020691645380940878
0,101 HK,2001,2,0.027906082840358785
1,101 HK,2001,3,0.0207656427879207
2,101 HK,2001,4,0.0299891561751198
3,101 HK,2001,5,0.02216508444909301
4,101 HK,2001,6,0.035717640088755276
5,101 HK,2001,7,0.04965212052371012
6,101 HK,2001,8,0.010611500206363814
7,101 HK,2001,9,0.03269739730773003
8,101 HK,2001,10,0.03967292778466504
9,101 HK,2001,11,0.018880895739085943
10,101 HK,2001,12,0.024314410312948627
11,101 HK,2002,1,0.02644143499762008
12,101 HK,2002,2,0.024594739577390133
13,101 HK,2002,3,0.03636091513006044
14,101 HK,2002,4,0.04860046447724532
15,101 HK,2002,5,0.04821324824115088
16,101 HK,2002,6,0.012685439830245235
17,101 HK,2002,7,0.039206117392753724
18,101 HK,2002,8,0.01821589245725489
19,101 HK,2002,9,0.015142357212745748
20,101 HK,2002,10,0.029918483689347655
21,101 HK,2002,11,0.020419124146202727
22,101 HK,2002,12,0.020616182408337923
23,101 HK,2003,1,0.01764660890461738
24,101 HK,2003,2,0.01803356612327752
25,101 HK,2003,3,0.01892495513648808
26,101 HK,2003,4,0.05392615644450257
27,101 HK,2003,5,0.05751520655704183
28,101 HK,2003,6,0.026618309129535462
29,101 HK,2003,7,0.05234287340187009
30,101 HK,2003,8,0.01783640430730232
31,101 HK,2003,9,0.01959522541649427
32,101 HK,2003,10,0.023897688358040025
33,101 HK,2003,11,0.016008892643250137
34,101 HK,2003,12,0.01576212402423051
35,101 HK,2004,1,0.06504719150508047
36,101 HK,2004,2,0.01694313939346887
37,101 HK,2004,3,0.01594587873672422
38,101 HK,2004,4,0.042630239225009074
39,101 HK,2004,5,0.042467907768322335
40,101 HK,2004,6,0.03662129410049756
41,101 HK,2004,7,0.03577083846594926
42,101 HK,2004,8,0.01813964980639317
43,101 HK,2004,9,0.018906546843092287
44,101 HK,2004,10,0.007233809018500598
45,101 HK,2004,11,0.018468643111602057
46,101 HK,2004,12,0.013299538660031888
47,101 HK,2005,1,0.013478536049341778
48,101 HK,2005,2,0.009300954459559179
49,101 HK,2005,3,0.0127234670617872
50,101 HK,2005,4,0.01773544493639425
51,101 HK,2005,5,0.012650222708334645
52,101 HK,2005,6,0.009746634723710776
53,101 HK,2005,7,0.013820575446891227
54,101 HK,2005,8,0.009811334747728865
55,101 HK,2005,9,0.012593496400104036
56,101 HK,2005,10,0.008340713071195433
57,101 HK,2005,11,0.017082284910757677
58,101 HK,2005,12,0.01873152125011611
59,101 HK,2006,1,0.040824499659355425
60,101 HK,2006,2,0.034710679133160505
61,101 HK,2006,3,0.017792269658748795
62,101 HK,2006,4,0.051328273337865896
63,101 HK,2006,5,0.051683561676570525
64,101 HK,2006,6,0.029380059032539648
65,101 HK,2006,7,0.015383839971723493
66,101 HK,2006,8,0.02110409386834257
67,101 HK,2006,9,0.019046567454900933
68,101 HK,2006,10,0.01976630687379479
69,101 HK,2006,11,0.025613506596726735
70,101 HK,2006,12,0.011918812033839496
71,101 HK,2007,1,0.024555889312619823
72,101 HK,2007,2,0.03404860132988044
73,101 HK,2007,3,0.02653615162255657
74,101 HK,2007,4,0.018318082456353045
75,101 HK,2007,5,0.01915413332939587
76,101 HK,2007,6,0.02341262990399793
77,101 HK,2007,7,0.019657861591865482
78,101 HK,2007,8,0.035751121940573616
79,101 HK,2007,9,0.04194650146239376
80,101 HK,2007,10,0.03761860770600551
81,101 HK,2007,11,0.03877838634283281
82,101 HK,2007,12,0.03291798203980656
83,101 HK,2008,1,0.043161953573293124
84,101 HK,2008,2,0.03718299387766915
85,101 HK,2008,3,0.05805156426372158
86,101 HK,2008,4,0.02368916221900458
87,101 HK,2008,5,0.03296186722529709
88,101 HK,2008,6,0.021084946410319497
89,101 HK,2008,7,0.03280784039675349
90,101 HK,2008,8,0.031091704304829833
91,101 HK,2008,9,0.03733595723225239
92,101 HK,2008,10,0.07755088732318308
93,101 HK,2008,11,0.05098553333716796
94,101 HK,2008,12,0.04429291845038749
95,101 HK,2009,1,0.03896963447054581
96,101 HK,2009,2,0.031035488683325573
97,101 HK,2009,3,0.04521100368333668
98,101 HK,2009,4,0.05537789154697016
99,101 HK,2009,5,0.036429105068875145
100,101 HK,2009,6,0.033496849094794105
101,101 HK,2009,7,0.03578226407477235
102,101 HK,2009,8,0.02721417486073647
103,101 HK,2009,9,0.024596037270793777
104,101 HK,2009,10,0.021074438958788442
105,101 HK,2009,11,0.02186073556925446
106,101 HK,2009,12,0.021193981020687928
107,101 HK,2010,1,0.03304451620869977
108,101 HK,2010,2,0.019186617294769014
109,101 HK,2010,3,0.021473696860794977
110,101 HK,2010,4,0.02925765502539692
111,101 HK,2010,5,0.020684602178282222
112,101 HK,2010,6,0.016266324603261852
113,101 HK,2010,7,0.014261073311613763
114,101 HK,2010,8,0.015333620570326568
115,101 HK,2010,9,0.017299164802344592
116,101 HK,2010,10,0.0205771246357281
117,101 HK,2010,11,0.021891830279382126
118,101 HK,2010,12,0.01747158668281181
119,101 HK,2011,1,0.012012150698915017
120,101 HK,2011,2,0.020451217948643862
121,101 HK,2011,3,0.01985092781659805
122,101 HK,2011,4,0.029905603964801426
123,101 HK,2011,5,0.027616083609681378
124,101 HK,2011,6,0.01902434322349378
125,101 HK,2011,7,0.01815256905670001
126,101 HK,2011,8,0.024560738643229774
127,101 HK,2011,9,0.03273370756723648
128,101 HK,2011,10,0.06184292914898598
129,101 HK,2011,11,0.028192348071560687
130,101 HK,2011,12,0.02498805410101871
131,101 HK,2012,1,0.034885341416451505
132,101 HK,2012,2,0.014303364373629682
133,101 HK,2012,3,0.010736850417754629
134,101 HK,2012,4,0.015249939703846908
135,101 HK,2012,5,0.02264829647408752
136,101 HK,2012,6,0.013325115535660556
137,101 HK,2012,7,0.026258348592378945
138,101 HK,2012,8,0.013706134046954093
139,101 HK,2012,9,0.015350702003946781
140,101 HK,2012,10,0.01877576844519608
141,101 HK,2012,11,0.015741081933137373
142,101 HK,2012,12,0.02055628343196439
143,101 HK,2013,1,0.020460612573499078
144,101 HK,2013,2,0.014437737428885506
145,101 HK,2013,3,0.01759182757054876
146,101 HK,2013,4,0.013807893685445235
147,101 HK,2013,5,0.021043719679463713
148,101 HK,2013,6,0.03538319875477637
149,101 HK,2013,7,0.018816042315171037
150,101 HK,2013,8,0.021408656801861575
151,101 HK,2013,9,0.021963029929812326
152,101 HK,2013,10,0.011436126490672176
153,101 HK,2013,11,0.013998398384835445
154,101 HK,2013,12,0.014980126184340317
155,101 HK,2014,1,0.020490770165256977
156,101 HK,2014,2,0.014223368717232315
157,101 HK,2014,3,0.015575055379554309
158,101 HK,2014,4,0.02358568355312417
159,101 HK,2014,5,0.01280517721251222
160,101 HK,2014,6,0.015866250352277286
161,101 HK,2014,7,0.010705202762995976
162,101 HK,2014,8,0.013636701386872747
163,101 HK,2014,9,0.022078099300166545
164,101 HK,2014,10,0.022090543188964647
165,101 HK,2014,11,0.012372538232567344
166,101 HK,2014,12,0.012430023793471615
167,101 HK,2015,1,0.010914153521466732
168,101 HK,2015,2,0.012298175414527919
169,101 HK,2015,3,0.00885612548492025
170,101 HK,2015,4,0.02164309391937046
171,101 HK,2015,5,0.029624147218405728
172,101 HK,2015,6,0.013306287435081932
173,101 HK,2015,7,0.02541883808600764
174,101 HK,2015,8,0.017696123988710632
175,101 HK,2015,9,0.03063368741279098
176,101 HK,2015,10,0.02763586883184275
177,101 HK,2015,11,0.015415135171692216
178,101 HK,2015,12,0.02377529302580136
179,101 HK,2016,1,0.025601556138617646
180,101 HK,2016,2,0.028436550819074122
181,101 HK,2016,3,0.013666039333776336
0,1038 HK,2001,2,0.018021143744858963
1,1038 HK,2001,3,0.013961886385872018
2,1038 HK,2001,4,0.028101143776254823
3,1038 HK,2001,5,0.01360180624319443
4,1038 HK,2001,6,0.0185054138693699
5,1038 HK,2001,7,0.02330868421144404
6,1038 HK,2001,8,0.009338202260768437
7,1038 HK,2001,9,0.018748423966791352
8,1038 HK,2001,10,0.019570030826308555
9,1038 HK,2001,11,0.006360987502537029
10,1038 HK,2001,12,0.012686729921354988
11,1038 HK,2002,1,0.01372186513071337
12,1038 HK,2002,2,0.00936659435959338
13,1038 HK,2002,3,0.006217937444684112
14,1038 HK,2002,4,0.009290156049518255
15,1038 HK,2002,5,0.011341977659575975
16,1038 HK,2002,6,0.012717032262144538
17,1038 HK,2002,7,0.013283352904314876
18,1038 HK,2002,8,0.014508972863438848
19,1038 HK,2002,9,0.016997290366040224
20,1038 HK,2002,10,0.016673816741572572
21,1038 HK,2002,11,0.01008688358732353
22,1038 HK,2002,12,0.01045900659596933
23,1038 HK,2003,1,0.01775018066729154
24,1038 HK,2003,2,0.013454435566832804
