,10 HK,101 HK,1038 HK,11 HK,12 HK,14 HK,142 HK,16 HK,17 HK,179 HK,19 HK,2 HK,20 HK,23 HK,267 HK,291 HK,293 HK,3 HK,315 HK,363 HK,4 HK,494 HK,5 HK,511 HK,6 HK,8 HK,83 HK,941 HK,97 HK,992 HK,66 HK,762 HK,883 HK,282 HK,2388 HK,330 HK,1199 HK,551 HK,144 HK,2038 HK,388 HK,939 HK,386 HK,3988 HK,1398 HK,2628 HK,2318 HK,3328 HK,1088 HK,688 HK,857 HK,2600 HK,700 HK,836 HK,1109 HK,1880 HK,1898 HK,1044 HK,1299 HK,151 HK,322 HK,1928 HK,135 HK,27 HK,2319 HK,823 HK,1 HK,1113 HK
10 HK,230.89444492548068,128.40109916715318,165.95786981733207,190.79797623938336,100.79854689712539,132.04388595437007,38.191815200087845,339.1701523740815,39.156031524879374,-103.49964845492018,328.25083492319817,172.01645223187649,145.20180726568347,94.15605872279467,-7.352291001183158,115.56668138765295,26.26458218107642,50.35041875908567,38.07359289664776,97.45348162297182,209.87443536276052,52.3097092628059,-93.76741591549876,91.43576096365999,168.2055329952265,-22.871557252686962,59.90919619881984,388.53385110985676,-3.644692537992215,23.30327777362219,109.10736507510653,37.69589196057635,77.71293019547372,-8.965374177939692,64.46815782287626,37.45010631863993,21.202404663122433,59.006415949528865,126.39788635127921,-22.859297283836163,879.9265960751928,9.430648241403315,29.42958455699865,1.625159448280379,3.825047010973892,93.24625737910114,114.20104723076926,9.072673106169878,82.27062336247329,108.5847644241102,46.93829181850507,17.892080197234872,180.03007050004072,61.68621077255493,98.74738217598717,24.24624853730948,12.52786770460823,422.6095590191314,-49.119843386217156,11.01184083994063,116.61723401306651,-16.642360216309918,67.43821854963717,143.32326217542322,41.880288664143045,35.349687569117584,183.56807455590433,42.618374405728105
101 HK,128.40109916715318,77.20719838943712,76.38864094324109,112.46781860259642,59.44726567644223,67.17969121951273,19.393332564410787,204.6199639834093,27.630015449645118,-62.58916570283775,180.1383324291736,90.31916389271274,75.15581458718461,58.3791385367271,8.599684910384102,69.29104460685329,17.632494592063107,25.44914183202841,14.968542944714814,61.955214610583674,109.88141832316225,32.216590987587885,-25.88729740559151,48.457801726913445,78.18000713048298,-12.873506076366564,36.91621712826253,227.11036283378377,-1.569409679062684,10.931070517612223,58.99698125548713,21.66446270558223,42.83317307243901,-4.047767068926133,33.91290422751776,65.27519414897706,15.960336711848342,33.00787016937778,78.1184976472694,-3.2770495095479895,501.5585914786763,5.866764113380134,16.401684540434406,1.486187093588397,2.8556209853516257,63.28132173460692,67.071697778239,7.828054531853826,56.09509398782163,57.71750103727785,27.62028392680201,16.537002367807517,38.7296363798505,34.91854165296828,54.1319235979363,12.972099555825846,17.652986352170455,210.76223248091154,-30.044606311219827,2.118316275025951,60.873393657725046,-32.100182274379925,34.57894875863921,57.7923576844034,21.475818048883536,-0.41212988115302857,98.91659499936145,24.536084992197644
1038 HK,165.95786981733207,76.38864094324109,266.4251332405096,230.47355449676584,112.36222004694376,146.79206085658907,37.566990118066066,254.3541647572956,14.787754061816882,-58.72219073761367,312.88131059464763,180.8090419323309,171.83726416275158,68.46404522183498,-47.83950334446344,66.18843276937154,16.25926036846015,60.811509597347275,56.344885989109905,49.029460814505626,218.67745207839994,20.250388103802102,-172.41736836611392,67.30187481271366,243.6027921469757,-16.076876610432326,43.094192333630296,354.4179370357713,-4.24285720693918,34.13384353301239,124.65534482198971,25.7713709753348,57.56222180521738,-10.869712875115766,74.82072203415855,-124.30181405363477,5.993106108080653,61.43496088799439,92.68355689268138,-49.74654693017406,906.3510032885623,5.640639642210983,25.93789518186827,1.1754939134942013,0.32092834797199365,48.541031690604896,114.09602087645756,-1.5961181758277112,-16.191870360352603,127.0526011976789,30.472467978721962,-8.40087956531364,648.3100549518945,57.55602781521164,107.03131060350448,0.34519212023117507,-42.67239667168806,477.99122987463954,78.3646114456665,20.28444736979114,97.35619808076535,89.52045053997968,58.04933893968409,230.30166887107032,51.26672053623052,157.70530944249103,266.6433149562102,-30.848626079573943
11 HK,190.79797623938336,112.46781860259642,230.47355449676584,399.77271992420185,162.15151502682548,145.73903900201503,34.45237117055693,421.1273284728879,50.67499793821205,-76.52502478198367,367.1244733581872,188.89527665573172,175.18297529108617,123.61066638414142,34.467537143076036,97.98837931345334,38.91105356492193,59.49007458915948,34.14251105595033,89.87776495831105,225.0009864257809,34.22747000582414,16.467252347390072,85.88151342114156,206.82236658844357,-15.854085676826559,72.78558320043423,502.1380288447174,-2.2095396152637,34.56530186030125,136.21436784867117,41.199173796472174,66.12825724001122,-4.7345727197432845,85.91966284932424,117.14240761336208,35.47483969052163,73.95293704742795,159.25365879063534,-13.071152158272028,1143.5652665411133,11.932525926437274,32.46595446636394,5.294784377694275,5.9297560874193005,99.44047225353121,145.5345966609961,14.695869985601545,38.77668401610014,128.91440078283455,46.14233311128216,28.48698608248962,460.5478517120531,70.93079494873342,112.47446607601931,-4.719226024122009,15.016880653743552,399.9629109008619,100.71678123422807,5.500562989254467,84.85158681525432,71.36799421109842,46.133472661729115,184.23109697013578,54.29627454205224,94.86515001692258,322.7508353547015,70.29083880766866
12 HK,100.79854689712539,59.44726567644223,112.36222004694376,162.15151502682548,86.8745587622069,75.59173948749891,18.479165577793456,217.09215658262636,26.909797682505623,-32.060514754196376,194.22395428374253,88.98366932177095,89.7591469598227,62.158279120497674,12.984489228930553,53.415862287618644,19.723424095837487,30.23515255716955,19.567651414484207,50.36974871059903,118.2248930821715,19.921497454777665,-12.00833351618327,48.82093881332081,103.16703793162445,-6.115014007868351,37.23906269782713,240.41165111607347,-0.9575394223030561,18.206437846509875,69.76818188001843,20.065233166763313,33.52354504895003,-3.369946699892106,47.50376143158531,37.525048666371625,16.53035857444488,36.534783195901774,77.02069139834903,-0.561677833501341,577.3410405567237,5.640531114250958,16.048205484890605,3.156265839943247,3.1374515621183017,55.95437199769688,78.50909924022105,6.94187925995834,23.39570519824338,66.76693025765223,23.199143545107624,13.666636606510897,248.46537284952515,36.88592194920693,59.7059721346849,3.2710262267314456,5.0774788279989,220.37194478686067,46.17684809389285,7.614757307882904,48.39621250758913,13.455301207001073,27.46361872316445,92.11403814779203,30.320808075726443,51.71210202094323,161.01589763681366,31.201982447565697
14 HK,132.04388595437007,67.17969121951273,146.79206085658907,145.73903900201503,75.59173948749891,103.98219721809299,26.507810647993768,206.3550343247326,18.786179917096653,-41.130076947469185,233.5369518460595,118.36759137954166,112.12287901009894,58.519274686510364,-17.519479493511987,61.53021063617926,17.25537506657244,38.658594129878445,34.17476336421087,44.89138048694859,157.62365463038108,24.029967618730375,-63.889757396460425,67.14582704286855,140.95100200940198,-11.38711050764916,34.753697703485756,229.01272706091447,-2.09433779688878,20.4022525774765,78.84592545563274,20.250924119985157,46.434419626540496,-5.589378392206356,53.66916181524693,-37.78054558762975,12.655951373787772,43.81942264535003,73.21266184198115,-21.53602514950361,575.8726094484571,4.687688294354961,18.509284808907722,1.6168420911831847,2.1070429208563204,32.555206206912146,67.42259404942475,0.760376501367182,14.022008608102409,76.98016491477009,26.308882368303937,1.3264463330285743,287.1525344988047,33.27787538743557,66.80376643656615,14.591200514318388,-13.700209835606024,305.16506786784174,6.743993679713591,17.01881332168625,72.09973576754899,42.31050390082226,44.75600660452956,141.45552275445456,29.88660416849619,76.02603693431392,156.61432602917114,8.370013947330825
142 HK,38.191815200087845,19.393332564410787,37.566990118066066,34.45237117055693,18.479165577793456,26.507810647993768,7.6905698279848345,54.32916526481661,5.144823199230251,-13.058835319726075,60.27762967576086,31.823053280286093,29.665241192971784,15.46619214996523,-5.5184983560976955,17.666958124987463,3.8955048701340487,10.370883781871251,9.126177176425408,13.255364285564161,42.37463699601087,7.024200366577189,-21.446281572300283,18.828986599596476,37.5505160701201,-3.204754871998357,9.342688194590608,65.24941959914383,-0.7148013117553109,5.583709165841182,20.488159342677058,6.170472484383102,13.10913105684798,-1.8044067255795486,13.542151762415719,-11.121537004578478,2.48358789771305,10.425279575796743,19.461102726072088,-6.2054486108522235,150.86581481892298,1.4181622528223772,5.226584608291174,0.21491207179564203,0.41319038886769277,11.316197666417414,18.925024182986444,0.5158915992613704,8.394138475035708,20.962681943696737,7.414300958270204,0.504181384697878,68.13125531943544,11.595826234287852,18.554300208694443,4.208192123349204,-2.7663617580423057,84.55112891536979,-1.8713507861772325,5.028905435869823,21.06731508672724,14.700892069591443,12.832285800154803,38.901637961686994,9.15918853526041,18.733538614829644,37.01128217881762,3.310113088593842
16 HK,339.1701523740815,204.6199639834093,254.3541647572956,421.1273284728879,217.09215658262636,206.3550343247326,54.32916526481661,668.62120010025,86.09916438539746,-136.35885731158427,554.412845662479,261.05095829429564,232.50207202584903,181.86326604781723,49.21426728350596,184.1522682153987,57.88064405001662,78.65842633055215,47.0869528718028,169.02315139463246,329.89102984721643,80.95280736694579,-21.717466376819463,148.24660023335193,247.92609010968414,-25.632211576108315,113.17165892769637,699.2800841507935,-3.421184303915506,41.59003753987709,186.46719957220483,66.97144036495234,114.6923205415997,-9.062636325927253,120.47262245152422,187.92993388097776,51.60528583716863,99.8276187796792,233.55620087640395,-4.304535383849825,1581.269110921863,18.20420905235704,47.868743938987684,7.265017965466591,10.687442701636051,174.2897028128466,206.24747734433953,24.01949365924017,136.70265321258879,172.03170465773124,77.4358280930558,50.637370397791614,317.87743200246655,99.97738333803916,158.82783171797712,30.33368233522085,50.73653405161687,595.0279984339331,0.2508435285105361,10.383714594251991,157.36985543151434,-44.90564554760207,87.61869737599234,195.70149678154132,68.72359429656957,54.23424059856107,376.7243192126248,111.8640085219487
17 HK,39.156031524879374,27.630015449645118,14.787754061816882,50.67499793821205,26.909797682505623,18.786179917096653,5.144823199230251,86.09916438539746,17.07419705937345,-22.340731833253574,62.90982803536051,25.957415596941892,20.89760691011306,29.451912845535816,19.74554626767809,26.307626376857826,8.72640406242184,6.823162477273777,-0.17849501393641165,23.693211933857715,30.036447427403047,11.299735317530144,35.39658111357958,21.869784059485802,13.950957827388567,-3.0034832045489135,18.05764490478819,94.42004093807489,0.41818136417546636,2.755795894429917,18.79018695027495,8.569954852761652,12.520647860457792,0.29107048867064955,11.383234131899188,75.10456107835631,12.317369837700868,11.732773152536302,36.639193425254504,14.090323994056526,174.08668997266298,1.2505727063809198,6.060918848348033,0.8926227636201518,1.0472008337368328,24.892726321914644,16.545024620245425,4.079901868735493,19.64768987245141,16.847763537405836,11.715894102375447,12.691916277781257,-42.93731109034351,11.608958743898954,17.046952427017228,2.219373753871302,14.295825904424877,41.46834742011514,-4.189929050017638,-0.6862317984986226,13.843257215351494,-8.638390570538446,7.527978077939524,7.890981263535939,4.9339653972815585,-16.51726656334742,37.83243393990293,9.432622234840803
179 HK,-103.49964845492018,-62.58916570283775,-58.72219073761367,-76.52502478198367,-32.060514754196376,-41.130076947469185,-13.058835319726075,-136.35885731158427,-22.340731833253574,104.94453742280277,-120.36698790208852,-83.44137475237022,-48.45018867276205,-41.5846851775684,-1.8501265649901353,-52.83009235973941,-6.80072383294191,-18.414311366884895,-3.9242697310108716,-48.7803615003485,-60.003007028800546,-25.10557856634462,29.01698468592113,-18.124290289443984,-57.10695836500382,18.80194160557211,-32.245673241558144,-202.11355925877126,1.2977571613411936,-1.229277604147565,-45.09461518732119,-14.435778184299592,-32.93022661954642,2.959860809404413,-8.048224743506927,-113.13778412624964,-14.596568844179448,-25.436478154312226,-67.8967283325758,0.9944866973461688,-380.38856310052046,-0.6432310844190849,-13.633863747430349,1.5472953431213992,0.7863997510970709,-44.659371148490344,-19.661873313679894,-3.9314313007605803,-29.14854710844101,-46.16267956909627,-25.324876775238586,-15.604227041242869,109.9205899207577,-20.37111708990991,-43.22528562860009,4.397059404004865,-13.521779289219227,-142.5684184172888,30.93825148985048,13.464055577939531,-45.465585779515344,54.029173907934464,-22.80891457676373,-11.556431580145514,0.4278515972121744,45.6046804899437,-52.01320247503203,9.74184575298704
