,10 HK,101 HK,1038 HK,11 HK,12 HK,14 HK,142 HK,16 HK,17 HK,179 HK,19 HK,2 HK,20 HK,23 HK,267 HK,291 HK,293 HK,3 HK,315 HK,363 HK,4 HK,494 HK,5 HK,511 HK,6 HK,8 HK,83 HK,941 HK,97 HK,992 HK,66 HK,762 HK,883 HK,282 HK,2388 HK,330 HK,1199 HK,551 HK,144 HK,2038 HK,388 HK,939 HK,386 HK,3988 HK,1398 HK,2628 HK,2318 HK,3328 HK,1088 HK,688 HK,857 HK,2600 HK,700 HK,836 HK,1109 HK,1880 HK,1898 HK,1044 HK,1299 HK,151 HK,322 HK,1928 HK,135 HK,27 HK,2319 HK,823 HK,1 HK,1113 HK,Risk-Free Asset
0.005,0.014173853062034978,-0.03902027861653873,0.04102660709953682,-0.10656221966918633,0.028835793085202004,-0.013190896486266755,-0.011877019320390278,-0.03755085521995296,-0.03892390542374625,0.007829402321603637,-0.020528148657745077,0.0611771060575875,0.017858405347235585,-0.0031646181556663484,-0.019646748371331,-0.036464871350458034,0.01208346170111135,0.009619892514452399,0.016837032946424035,-0.0029065810718336147,0.015913853476530113,-0.00898264068734075,0.026235136598333122,0.012182814279569043,-0.0025010590289131773,-0.020388230110018883,0.02296905979451772,-0.015378765196689105,-0.008316767098986995,-0.0072278336595626245,0.039116697803844774,-0.014307261923269452,-0.0009903251024074191,0.0008846619018026143,0.08096445620265348,-0.005573704179120435,-0.05269514322667782,0.025450800835647235,0.03306347179722238,-0.0013456031907494322,0.026777676503198657,0.0927287074436364,-0.0002545124382192177,-0.07824472717230127,0.013703422956421052,-0.03201698582996144,0.013718301241847251,-0.04296040295303278,-0.09248681376044851,0.022341426892806743,0.02377955203041275,-0.012567246407534071,0.039590302888818193,0.012498641539593198,0.010710173862198552,-0.03680849878904588,0.0715937431690181,0.011652273150698242,0.0005691307413706502,0.012228516815476717,0.008284162758830958,-0.009577088099105919,0.0026720377043397557,0.015085288211977042,-0.014447460247931353,-0.014650023951701072,0.0231494143706685,0.0032647710038937986,0.9309871852856176
0.010,0.029516484054028277,-0.08125817493154168,0.0854362740282635,-0.2219115750573339,0.060049389750229616,-0.027469516164105805,-0.024733419335261082,-0.07819815927707485,-0.0810574815988364,0.016304418266983686,-0.042749051359790326,0.1273988849409678,0.03718941732745555,-0.006590191172435032,-0.040913570394572676,-0.07593664115447361,0.02516332736464165,0.02003304272744686,0.03506245001307517,-0.006052839230308764,0.033139965563513785,-0.018705991197350016,0.05463362627443346,0.025370225149241095,-0.005208355739402618,-0.04245767656108544,0.047832151511211375,-0.032025665548528516,-0.017319335990285213,-0.015051675505871177,0.08145896404598822,-0.0297943026900801,-0.0020623125529506334,0.0018422731492613775,0.16860525292517634,-0.011607016793869534,-0.10973553542339762,0.05300027831103935,0.06885336215933743,-0.0028021650110928165,0.05576344400152216,0.1931038372298312,-0.0005300120081229933,-0.16294152562362185,0.02853683210969701,-0.06667409684381376,0.028567815546071833,-0.08946332681508451,-0.19260010327609708,0.04652513100986608,0.04951996928750733,-0.02617078973286369,0.08244522775828592,0.026027922829859773,0.02230351017721549,-0.07665223159887946,0.14909111653462576,0.02426539439490894,0.0011851920842413652,0.025465398858637082,0.017251438751468375,-0.019943904238605002,0.00556441201603534,0.03141451142540018,-0.030086260113102115,-0.030508090952329498,0.048207732727393475,0.006798755486932492,0.8562835641003734
0.015,0.04485911504602158,-0.12349607124654464,0.12984594095699017,-0.33726093044548144,0.09126298641525722,-0.04174813584194485,-0.03758981935013189,-0.11884546333419672,-0.12319105777392654,0.024779434212363737,-0.06496995406183557,0.1936206638243481,0.056520429307675514,-0.010015764189203715,-0.062180392417814354,-0.1154084109584892,0.038243193028171946,0.030446192940441326,0.053287867079726305,-0.009199097388783913,0.05036607765049745,-0.028429341707359286,0.0830321159505338,0.03855763601891315,-0.007915652449892058,-0.064527123012152,0.07269524322790502,-0.048672565900367934,-0.02632190488158343,-0.02287551735217973,0.12380123028813166,-0.04528134345689074,-0.003134300003493848,0.0027998843967201406,0.2562460496476992,-0.01764032940861863,-0.16677592762011742,0.08054975578643148,0.1046432525214525,-0.0042587268314362,0.08474921149984566,0.29347896701602605,-0.000805511578026769,-0.24763832407494246,0.04337024126297297,-0.10133120785766607,0.04341732985029642,-0.13596625067713622,-0.2927133927917457,0.07070883512692541,0.0752603865446019,-0.03977433305819331,0.12530015262775365,0.03955720412012635,0.03389684649223243,-0.11649596440871304,0.22658848990023342,0.03687851563911965,0.0018012534271120801,0.03870228090179744,0.02621871474410579,-0.030310720378104082,0.008456786327730925,0.047743734638823324,-0.04572505997827288,-0.046366157952957926,0.07326605108411846,0.010332739969971184,0.7815799429151293
0.020,0.06020174603801489,-0.16573396756154762,0.17425560788571687,-0.4526102858336291,0.12247658308028485,-0.0560267555197839,-0.0504462193650027,-0.15949276739131862,-0.1653246339490167,0.03325445015774379,-0.08719085676388082,0.25984244270772844,0.07585144128789548,-0.0134413372059724,-0.08344721444105603,-0.1548801807625048,0.05132305869170225,0.04085934315343579,0.07151328414637745,-0.012345355547259063,0.06759218973748113,-0.038152692217368556,0.11143060562663415,0.0517450468885852,-0.010622949160381501,-0.08659656946321857,0.09755833494459869,-0.06531946625220736,-0.03532447377288165,-0.030699359198488287,0.16614349653027513,-0.06076838422370139,-0.004206287454037063,0.0037574956441789042,0.34388684637022204,-0.023673642023367733,-0.22381631981683725,0.10809923326182361,0.14043314288356756,-0.005715288651779585,0.11373497899816917,0.3938540968022209,-0.0010810111479305448,-0.33233512252626307,0.058203650416248934,-0.1359883188715184,0.05826684415452101,-0.18246917453918798,-0.3928266823073943,0.09489253924398476,0.10100080380169649,-0.05337787638352293,0.1681550774972214,0.05308648541039294,0.04549018280724937,-0.15633969721854662,0.3040858632658411,0.04949163688333035,0.0024173147699827952,0.05193916294495781,0.035185990736743215,-0.04067753651760317,0.01134916063942651,0.06407295785224647,-0.06136385984344365,-0.06222422495358636,0.09832436944084344,0.013866724453009878,0.706876321729885
0.025,0.0755443770300082,-0.2079718638765506,0.21866527481444353,-0.5679596412217767,0.15369017974531246,-0.07030537519762296,-0.06330261937987351,-0.20014007144844054,-0.20745821012410684,0.04172946610312384,-0.10941175946592607,0.32606422159110876,0.09518245326811546,-0.016866910222741085,-0.10471403646429772,-0.19435195056652038,0.06440292435523255,0.051272493366430257,0.08973870121302858,-0.015491613705734214,0.0848183018244648,-0.047876042727377825,0.1398290953027345,0.06493245775825726,-0.013330245870870942,-0.10866601591428514,0.12242142666129235,-0.08196636660404677,-0.044327042664179875,-0.03852320104479684,0.2084857627724186,-0.07625542499051205,-0.005278274904580277,0.0047151068916376675,0.43152764309274494,-0.029706954638116834,-0.28085671201355705,0.13564871073721574,0.17622303324568264,-0.00717185047212297,0.1427207464964927,0.4942292265884157,-0.0013565107178343204,-0.41703192097758374,0.0730370595695249,-0.17064542988537074,0.0731163584587456,-0.22897209840123972,-0.49293997182304294,0.11907624336104411,0.12674122105879107,-0.06698141970885256,0.21101000236668913,0.06661576670065952,0.05708351912226631,-0.19618343002838023,0.3815832366314488,0.06210475812754106,0.0030333761128535108,0.06517604498811817,0.04415326672938063,-0.051044352657102256,0.014241534951122096,0.08040218106566961,-0.07700265970861442,-0.07808229195421479,0.12338268779756843,0.017400708936048573,0.6321727005446409
0.030,0.09088700802200149,-0.25020976019155355,0.2630749417431702,-0.6833089966099243,0.1849037764103401,-0.084583994875462,-0.07615901939474432,-0.2407873755055624,-0.24959178629919698,0.05020448204850389,-0.13163266216797131,0.392286000474489,0.11451346524833542,-0.020292483239509766,-0.12598085848753937,-0.23382372037053595,0.07748279001876285,0.06168564357942472,0.10796411827967971,-0.018637871864209364,0.10204441391144847,-0.057599393237387095,0.16822758497883483,0.0781198686279293,-0.016037542581360382,-0.1307354623653517,0.147284518377986,-0.09861326695588618,-0.053329611555478086,-0.046347042891105396,0.250828029014562,-0.09174246575732269,-0.006350262355123492,0.005672718139096431,0.5191684398152677,-0.03574026725286593,-0.33789710421027686,0.16319818821260784,0.21201292360779767,-0.008628412292466353,0.17170651399481618,0.5946043563746105,-0.001632010287738096,-0.5017287194289043,0.08787046872280085,-0.20530254089922303,0.08796587276297017,-0.2754750222632914,-0.5930532613386915,0.14325994747810344,0.15248163831588565,-0.08058496303418218,0.25386492723615683,0.08014504799092609,0.06867685543728325,-0.2360271628382138,0.4590806099970564,0.07471787937175176,0.0036494374557242255,0.07841292703127854,0.05312054272201804,-0.061411168796601336,0.01713390926281768,0.09673140427909274,-0.09264145957378517,-0.0939403589548432,0.1484410061542934,0.020934693419087266,0.5574690793593967
0.035,0.10622963901399479,-0.2924476565065565,0.30748460867189686,-0.7986583519980719,0.21611737307536769,-0.09886261455330106,-0.08901541940961512,-0.2814346795626843,-0.29172536247428715,0.058679497993883944,-0.15385356487001656,0.45850777935786935,0.1338444772285554,-0.02371805625627845,-0.14724768051078108,-0.27329549017455157,0.09056265568229314,0.07209879379241918,0.12618953534633084,-0.021784130022684513,0.11927052599843214,-0.06732274374739636,0.19662607465493517,0.09130727949760137,-0.018744839291849825,-0.15280490881641826,0.17214761009467966,-0.1152601673077256,-0.06233218044677631,-0.05417088473741395,0.29317029525670546,-0.10722950652413334,-0.007422249805666707,0.006630329386555194,0.6068092365377906,-0.041773579867615034,-0.39493749640699666,0.19074766568799997,0.24780281396991274,-0.010084974112809737,0.2006922814931397,0.6949794861608054,-0.0019075098576418717,-0.5864255178802249,0.10270387787607681,-0.23995965191307536,0.10281538706719477,-0.3219779461253432,-0.6931665508543401,0.16744365159516278,0.17822205557298024,-0.0941885063595118,0.29671985210562457,0.09367432928119267,0.08027019175230019,-0.2758708956480474,0.536577983362664,0.08733100061596245,0.0042654987985949406,0.0916498090744389,0.06208781871465546,-0.07177798493610042,0.020026283574513266,0.11306062749251589,-0.10828025943895594,-0.10979842595547164,0.17349932451101838,0.02446867790212596,0.4827654581741525
0.040,0.12157227000598811,-0.3346855528215595,0.3518942756006236,-0.9140077073862195,0.2473309697403953,-0.1131412342311401,-0.10187181942448593,-0.32208198361980617,-0.33385893864937727,0.067154513939264,-0.17607446757206183,0.5247295582412497,0.15317548920877536,-0.027143629273047136,-0.16851450253402275,-0.31276725997856714,0.10364252134582345,0.08251194400541366,0.144414952412982,-0.024930388181159665,0.13649663808541582,-0.07704609425740563,0.22502456433103551,0.10449469036727342,-0.021452136002339264,-0.17487435526748482,0.19701070181137334,-0.13190706765956503,-0.07133474933807453,-0.06199472658372251,0.33551256149884895,-0.12271654729094399,-0.008494237256209921,0.007587940634013957,0.6944500332603135,-0.04780689248236413,-0.4519778886037165,0.2182971431633921,0.2835927043320278,-0.011541535933153123,0.2296780489914632,0.7953546159470002,-0.0021830094275456474,-0.6711223163315455,0.11753728702935277,-0.27461676292692766,0.11766490137141936,-0.36848086998739493,-0.7932798403699887,0.1916273557122221,0.20396247283007482,-0.10779204968484142,0.3395747769750923,0.10720361057145926,0.09186352806731712,-0.315714628457881,0.6140753567282717,0.09994412186017317,0.004881560141465656,0.10488669111759927,0.07105509470729289,-0.0821448010755995,0.02291865788620885,0.12938985070593903,-0.12391905930412671,-0.12565649295610007,0.19855764286774338,0.028002662385164655,0.4080618369889083
0.045,0.1369149009979814,-0.3769234491365624,0.3963039425293502,-1.029357062774367,0.2785445664054229,-0.12741985390897914,-0.11472821943935672,-0.362729287676928,-0.3759925148244674,0.07562952988464404,-0.19829537027410704,0.5909513371246299,0.1725065011889953,-0.030569202289815814,-0.1897813245572644,-0.3522390297825827,0.11672238700935374,0.09292509421840811,0.16264036947963312,-0.02807664633963481,0.15372275017239947,-0.0867694447674149,0.25342305400713583,0.11768210123694546,-0.024159432712828704,-0.19694380171855136,0.22187379352806696,-0.1485539680114044,-0.08033731822937275,-0.06981856843003105,0.3778548277409923,-0.13820358805775462,-0.009566224706753135,0.00854555188147272,0.7820908299828363,-0.05384020509711322,-0.5090182808004362,0.2458466206387842,0.3193825946941428,-0.012998097753496505,0.2586638164897867,0.895729745733195,-0.002458508997449423,-0.755819114782866,0.13237069618262873,-0.30927387394077993,0.13251441567564393,-0.4149837938494466,-0.8933931298856372,0.21581105982928142,0.22970289008716938,-0.12139559301017103,0.38242970184456,0.12073289186172581,0.10345686438233405,-0.3555583612677145,0.6915727300938793,0.11255724310438385,0.00549762148433637,0.11812357316075962,0.08002237069993029,-0.09251161721509858,0.02581103219790443,0.14571907391936215,-0.13955785916929744,-0.1415145599567285,0.22361596122446833,0.031536646868203344,0.3333582158036642
0.050,0.15225753198997471,-0.4191613454515654,0.44071360945807697,-1.1447064181625146,0.30975816307045057,-0.14169847358681822,-0.12758461945422755,-0.40337659173405,-0.4181260909995576,0.08410454583002411,-0.22051627297615234,0.6571731160080103,0.1918375131692153,-0.033994775306584506,-0.2110481465805061,-0.3917107995865983,0.12980225267288406,0.10333824443140259,0.18086578654628427,-0.031222904498109966,0.1709488622593832,-0.09649279527742417,0.2818215436832362,0.13086951210661754,-0.02686672942331815,-0.21901324816961795,0.24673688524476065,-0.16520086836324385,-0.08933988712067098,-0.07764241027633961,0.42019709398313587,-0.1536906288245653,-0.01063821215729635,0.009503163128931484,0.8697316267053593,-0.059873517711862334,-0.5660586729971562,0.27339609811417637,0.3551724850562579,-0.01445465957383989,0.28764958398811025,0.99610487551939,-0.002734008567353199,-0.8405159132341868,0.1472041053359047,-0.3439309849546323,0.14736392997986852,-0.4614867177114984,-0.9935064194012859,0.2399947639463408,0.255443307344264,-0.13499913633550067,0.4252846267140278,0.13426217315199243,0.115050200697351,-0.39540209407754817,0.7690701034594871,0.12517036434859458,0.006113682827207086,0.13136045520392,0.08898964669256773,-0.10287843335459768,0.028703406509600023,0.16204829713278532,-0.15519665903446825,-0.15737262695735693,0.24867427958119334,0.03507063135124204,0.2586545946184199
