,AUDJPY CURNCY,EUR Curncy,INR CURNCY,GBP Curncy,CL1 COMDTY,HG1 COMDTY,XOVER CDSI GENERIC 5Y Corp,CITLY1U5 Index,CDBR1U5 Index,CJGB1U5 Index
NKY Index,0.6983011775402903,-0.19739099785484343,-0.035475504233737944,0.03574252774326196,-0.04687476628332759,-0.09731348310187188,-0.17021188085473554,0.0331803637535553,0.0034843125188574998,-0.2937965255704242
HSI Index,0.2870439698701972,-0.002213062254754583,-0.27080653421668865,0.09181026867678736,0.11082038357266194,0.04776397648503869,-0.017357125740809567,-0.08632093796575968,-0.008155449468316674,-0.20368511523408583
AS51 Index,0.16381156707598574,-0.007590768746284288,-0.15005484135985583,-0.1290535985347154,0.01364324835702274,0.17532629947933184,-0.24399962544188866,-0.16756880429697404,-0.010026745685896794,-0.2648872806714519
HSCEI Index,0.37542180572531064,0.015600381870301203,-0.21873708752977603,-0.004722893226992454,0.1026794399913594,0.02256137775635626,0.05639723905903737,-0.06535108950605299,-0.06746449293451051,-0.16819282409768307
SHSZ300 Index,0.15643477432891012,-0.11611491174075911,-0.11272816041931369,0.1658940047441852,-0.13086191707075823,0.23398537609101808,-0.02349289631633107,-0.1652509635220174,-0.06316258935291785,0.10503502811390036
TWSE Index,0.32424945285211104,0.03967162057119767,-0.1953196118751311,-0.09534032380380468,0.06066533591652763,0.25861993042088144,-0.021642634138539465,-0.23370115121284407,0.18346833877038862,-0.06022044295325796
KOSPI Index,0.18872274366715536,-0.047882020343483093,-0.1961240147085309,-0.07506378002075502,0.11789985988679479,0.23811177021171628,0.005387508102421738,-0.20513653736882628,0.03487854334542836,-0.21322048290023995
NIFTY Index,0.21024200637781457,-0.02944687763221898,-0.4556520663663697,-0.05594762963119158,0.09252656291875308,-0.03968296409449099,0.014596869360233758,-0.18837869823527034,0.013521951938179622,-0.15511780434602698
FSSTI Index,0.2154427245375342,-0.09099428535187415,-0.36282108454802403,0.08485511882407445,0.0804109245107399,0.1208144889820209,-0.07496553901399552,-0.07974212595712125,-0.005779449475811546,-0.22208301581946888
SPX Index,0.19890667677871626,0.08752930891852491,-0.1465162295917664,-0.0932856562974275,0.05445378139892871,0.1293814008151763,-0.2867209586206421,-0.07879742050570873,-0.11031502330763257,-0.1856863280078882
NDX Index,0.20970577174646085,-0.004444997654014986,-0.16867197283193666,-0.04057519573254595,0.07141914609555618,0.0851585063076011,-0.2423639414873757,-0.17628147900527733,-0.031353999748591765,-0.1188375816142292
ibov Index,0.19291022131059493,0.0852132823091171,-0.22395992236561008,-0.08460508295338194,0.16121422142311315,0.16995361598555725,-0.09382580249120076,-0.07611055202443395,-0.019034260338906477,-0.0984705174355112
SX5E Index,0.11767923298424361,-0.044745033333178134,-0.17411497927144712,-0.06270598467902613,0.003611873079145275,0.022536304166356397,-0.4055125906298323,-0.17086369170698776,-0.09729740214989717,-0.16610472591325764
UKX Index,0.13751990873562345,0.1520817250591017,-0.19789549876269738,-0.44337851756806285,0.14942076765496257,0.15864526840996981,-0.34533154706527563,-0.06610630817306128,-0.009770933044639671,-0.28126435355333823
CAC Index,0.11183234817125326,-0.05366938426630616,-0.14043535204418403,-0.10980838205264015,0.04083150563257958,0.059757369338471776,-0.42491245782783227,-0.17985396716543756,-0.06280243408158265,-0.19346478164782566
DAX Index,0.16218475895272685,-0.13900915022315755,-0.22260406773601862,-0.07183575396857873,0.020207101160129422,0.01791623565496155,-0.4354946734321985,-0.04050568041583539,-0.10647064639358016,-0.189010240793154
SMI Index,0.15174024464219077,-0.23594179524518075,-0.11340836956974924,-0.04473820404693148,0.0198465255603068,0.029471736996675112,-0.2945342634946664,-0.0521507238832469,-0.2371585327977331,-0.22932074297014818
IBEX Index,0.03904210695551236,0.13887889446522977,-0.1353194314986306,0.0724608750997676,-0.07029590525305672,-0.049933446778155935,-0.25478900865378845,-0.3024804497859877,-0.014871277759757256,-0.11450730258330336
OMX Index,0.3229298739575516,-0.20204425808688833,-0.19976037389226675,-0.07343103406169024,-0.051313383948541236,0.11165400278708494,-0.20725228128277426,-0.3175542784350256,0.03885884189956087,-0.07964241327753811
AEX Index,0.1398482760660455,-0.26633353078449457,-0.23088397085643447,-0.06287989497820626,0.1364786926621277,0.11059653945300721,-0.25768567954127036,-0.22183280211273176,-0.07101915211980174,-0.184589321470789
