,AUDJPY CURNCY,EUR Curncy,INR CURNCY,GBP Curncy,CL1 COMDTY,HG1 COMDTY,XOVER CDSI GENERIC 5Y Corp,CITLY1U5 Index,CDBR1U5 Index,CJGB1U5 Index
NKY Index,8.821740950272947,-2.6886569152406405,-0.5446289468496217,0.48163152726261066,-0.651539059178058,-1.4235565098584975,-2.4488578954613858,0.41530467134779625,0.05084069637951115,-4.394756405351265
HSI Index,3.4773386835023303,-0.028906047649973492,-3.9867437325694484,1.1863366325021731,1.4770936391040865,0.670022223978065,-0.23946307827497135,-1.0360694351356896,-0.1141114774207154,-2.9216923485950668
AS51 Index,1.8766731779715449,-0.09376189191785285,-2.0890782667616956,-1.5770022740173164,0.17196960027197442,2.325847933154191,-3.1834309110974512,-1.9020038853127668,-0.13267434275508955,-3.593203491063998
HSCEI Index,3.955141735664593,0.17720432012942292,-2.8004356607050753,-0.05307240925292842,1.1901888115766188,0.2752316301860917,0.6766476657027519,-0.68213374814224,-0.820919705610253,-2.0981022330098664
SHSZ300 Index,1.2953668271097414,-1.0366782491415512,-1.1343641895972243,1.465238363402494,-1.1922369134513688,2.2435634400318034,-0.22154309587529097,-1.3557437732812248,-0.604090852913469,1.029841178259241
TWSE Index,3.4267560605421257,0.45204367642063076,-2.508478639349588,-1.0747282848186657,0.7053982195517019,3.1648716075759067,-0.2604811153462622,-2.447027986478223,2.23948382118845,-0.7535715767036402
KOSPI Index,1.9625300995228092,-0.5368600289692845,-2.4784689147130816,-0.832608104186674,1.3489479371876913,2.867233857930939,0.06380316285732365,-2.113534065443749,0.4189221140866525,-2.6254130111159477
NIFTY Index,2.25334012190075,-0.3402851742320839,-5.93473345305834,-0.639597955756653,1.091097351846359,-0.49249466386879676,0.17816777875170434,-2.0003831866402386,0.16738999954178893,-1.9685458384950247
FSSTI Index,2.746456013703783,-1.2506951130030795,-5.620745862021122,1.1538171233179106,1.1278353053532673,1.7834051016343624,-1.0883401988612784,-1.0071699791988271,-0.08509619663863577,-3.352222121810011
SPX Index,2.576631339331412,1.222511468325925,-2.306477776093136,-1.288949532092959,0.7761055366532232,1.9407292003085443,-4.229845947942753,-1.0113211062316017,-1.6505186933587792,-2.8481278292840506
NDX Index,2.337188867956024,-0.05341355458812329,-2.2844779306991967,-0.48234987186908823,0.8757656229570061,1.099009960968834,-3.076193281419344,-1.9465441475954084,-0.4036075102659864,-1.568244801453443
ibov Index,2.0253374428684308,0.9645971304801773,-2.857413404006103,-0.9474509305506301,1.8622385703834192,2.0661541968094213,-1.1218289088309088,-0.7917009595269034,-0.2308134011043342,-1.2241228323970164
SX5E Index,1.4645662566712847,-0.6004136400016752,-2.633334004300792,-0.8324081150232415,0.049457423789995146,0.3247746014339175,-5.747456925182513,-2.1068476269725496,-1.3985992871896573,-2.447754230034108
UKX Index,1.7294034556428681,2.0620742362030176,-3.024316786286075,-5.947350208519204,2.0674333853504883,2.3101918047713728,-4.9457161645151455,-0.8236596630340921,-0.1419219753596907,-4.188148457450905
CAC Index,1.4063464497948304,-0.727692684671725,-2.1461592349894123,-1.4729177247622216,0.5649500956823984,0.8701748275723573,-6.0853635474002425,-2.240882298683744,-0.9121877098858349,-2.8807357401837006
DAX Index,1.907267787360161,-1.7625503889669862,-3.1812320357568624,-0.9010738934118144,0.26145410481289316,0.24397120343536235,-5.832391507855071,-0.47194535178613833,-1.446153483169189,-2.6318649211363114
SMI Index,1.5604281984898032,-2.6160401711566283,-1.4172574013302863,-0.4907266845431118,0.22455219909120078,0.3509448801394547,-3.4493798434221286,-0.5313461009112813,-2.816855881935331,-2.7923057853770654
IBEX Index,0.4194976788656342,1.6089001237271494,-1.7669208552849414,0.8304586414600471,-0.831028959337926,-0.6212666324198156,-3.1177349510230545,-3.2200882373568005,-0.18455570030265384,-1.456820773299539
OMX Index,3.561599001325824,-2.4025909099119116,-2.677359915387556,-0.8638424869835483,-0.6226690342611437,1.4259400366165125,-2.603144669961349,-3.469995513071183,0.4950049184097994,-1.0400586615698533
AEX Index,1.6528554782518654,-3.3939085045101143,-3.3161347101235426,-0.7926978691028732,1.7747305814817134,1.5135942552716541,-3.4684084509676794,-2.59763230421505,-0.9694738753930148,-2.583217438944817
